id,keyword,product,product_category,brand
76,KitchenAid stand mixer,Stand Mixer,Kitchenware,KitchenAid
77,Whirlpool washing machine,Washing Machine,Home Appliances,Whirlpool
78,Logitech wireless keyboard,Wireless Keyboard,Electronics,Logitech
79,Bose Bluetooth speaker,Bluetooth Speaker,Electronics,Bose
80,Bosch dishwasher,Dishwasher,Kitchenware,Bosch
81,Sony mirrorless camera,Mirrorless Camera,Electronics,Sony
82,Calvin Klein men's suit,Men's Suit,Clothing,Calvin Klein
83,acoustic guitar for beginners,Acoustic Guitar,Other Categories,
84,Apple AirPods Pro,Wireless Earbuds,Electronics,Apple
85,Tefal nonstick frying pan,Frying Pan,Kitchenware,Tefal
86,adjustable office chair,Office Chair,Furniture,
87,Apple MacBook Pro,Laptop,Electronics,Apple
88,Puma running shoes,Running Shoes,Clothing,Puma
89,cozy wool throw blanket,Throw Blanket,Home Appliances,
90,HP wireless printer,Printer,Electronics,HP
91,leather recliner chair,Recliner Chair,Furniture,
92,Samsung microwave,Microwave,Kitchenware,Samsung
93,hiking boots waterproof,Hiking Boots,Other Categories,
94,Sony Bravia 4K TV,TV,Electronics,Sony
95,Under Armour running shoes,Running Shoes,Clothing,Under Armour
96,wooden dining table,Dining Table,Furniture,
97,Brother laser printer,Laser Printer,Electronics,Brother
98,Whirlpool refrigerator,Refrigerator,Home Appliances,Whirlpool
99,Adidas running shorts,Running Shorts,Clothing,Adidas
100,JBL portable speaker,Portable Speaker,Electronics,JBL
